segmentnr	original	folio	analyzed
PA_pvr_18:27.8	siyā kāyato ca vācato ca cittato ca samuṭṭhanti.	27	
PA_pvr_18:28.1	Cattāro pāṭidesanīyā katihi samuṭṭhānehi samuṭṭhanti?	28	
PA_pvr_18:28.2	Cattāro pāṭidesanīyā catūhi samuṭṭhānehi samuṭṭhanti—	28	
PA_pvr_18:28.3	siyā kāyato samuṭṭhanti, na vācato na cittato;	28	
PA_pvr_18:28.4	siyā kāyato ca vācato ca samuṭṭhanti, na cittato;	28	
PA_pvr_18:28.5	siyā kāyato ca cittato ca samuṭṭhanti, na vācato;	28	
PA_pvr_18:28.6	siyā kāyato ca vācato ca cittato ca samuṭṭhanti.	28	
PA_pvr_18:29.1	Pañcasattati sekhiyā katihi samuṭṭhānehi samuṭṭhanti?	29	
PA_pvr_18:29.2	Pañcasattati sekhiyā tīhi samuṭṭhānehi samuṭṭhanti—	29	
PA_pvr_18:29.3	siyā kāyato ca cittato ca samuṭṭhanti, na vācato;	29	
PA_pvr_18:29.4	siyā vācato ca cittato ca samuṭṭhanti, na kāyato;	29	
PA_pvr_18:29.5	siyā kāyato ca vācato ca cittato ca samuṭṭhanti.	29	
PA_pvr_18:30.1	Samuṭṭhānaṁ niṭṭhitaṁ.	30	
PA_pvr_18:31.1	Tassuddānaṁ	31	
PA_pvr_18:32.1	Acittakusalā ceva,	32	
PA_pvr_18:32.2	samuṭṭhānañca sabbathā;	32	
PA_pvr_18:32.3	Yathādhammena ñāyena,	32	
PA_pvr_18:32.4	samuṭṭhānaṁ vijānathāti.	32	
